item_id,name,material_id,brand_name,tb_price,our_price,zk_final_price,reserve_price,final_promotion_price,predict_rounding_up_price,shop_name,title,sub_title,short_title,image_url,click_url,annual_vol,level_one_category_id,level_one_category_name,tk_total_sales,coupon_url,has_full_reduction,full_reduction_coupon_set,full_reduction_coupon_fee0,full_reduction_coupon_desc0,full_reduction_coupon_type0,full_reduction_coupon_src_scene0,full_reduction_coupon_fee1,full_reduction_coupon_desc1,full_reduction_coupon_type1,full_reduction_coupon_src_scene1,has_alimama_reduction,alimama_coupon_set,alimama_coupon_fee0,alimama_coupon_desc0,alimama_coupon_type0,alimama_coupon_src_scene0,alimama_coupon_fee1,alimama_coupon_desc1,alimama_coupon_type1,alimama_coupon_src_scene1,has_open_reduction,open_coupon_set,open_coupon_fee0,open_coupon_desc0,open_coupon_type0,open_coupon_src_scene0,open_coupon_fee1,open_coupon_desc1,open_coupon_type1,open_coupon_src_scene1
a70Jjj9fotMrOBRd4AhD7qhjty-3YYyygVCkqx7g0a8cqy,防晒袖套冰袖蕉下长款,86620,蕉下,49,44,49,49.00,44,,蕉下官方旗舰店,蕉下冰袖AL37824男女凉感防晒袖套开车防紫外线户外骑行防晒护袖,户外防晒 UPF50+ 多部位防晒防滑不脱落,防晒袖套冰袖蕉下长款,http://img.alicdn.com/bao/uploaded/i2/1652864050/O1CN01FytVsJ1fmx2AuojmG_!!1652864050.jpg,29￥ CZ8908 K1Jf3ZWs23K￥ https://m.tb.cn/h.gh7M48L  蕉下冰袖AL37824男女凉感防晒袖套开车防紫外线户外骑行防晒护袖,20万+,50010404,服饰配件/皮带/帽子/围巾,,89￥ CZ0016 VlkE3ZWryqC￥ https://m.tb.cn/h.gh7MmxO  蕉下冰袖AL37824男女凉感防晒袖套开车防紫外线户外骑行防晒护袖,否,,,,,,,,,,是,,5,满49减5,单品券,妈妈渠道券,,,,,否,,,,,,,,,
Ygb5ppZfptXrbdMO8qcaB4f2t6-Vqq55XZipaZj8keKHzp,小型铝框万向轮学生28寸拉杆箱,86620,CARTELO/卡帝乐鳄鱼,88.0,88,158,1099.00,88,72.2,卡帝乐鳄鱼宏丰专卖店,旅行箱行李箱铝框20拉杆箱万向轮24女男学生26登机密码皮箱子28寸,全国正常发货 官方正品 终身质保,小型铝框万向轮学生28寸拉杆箱,http://img.alicdn.com/bao/uploaded/i1/3010327687/O1CN01MLNTPI26ehW2zYyuK_!!0-item_pic.jpg,69￥ MF7997 4DBw3ZWsRvE￥ https://m.tb.cn/h.gh7MIgG  旅行箱行李箱铝框20拉杆箱万向轮24女男学生26登机密码皮箱子28寸,30万+,50006842,箱包皮具/热销女包/男包,,29￥ CZ3452 5YGe3ZWrKgd￥ https://m.tb.cn/h.gh7o9rz  旅行箱行李箱铝框20拉杆箱万向轮24女男学生26登机密码皮箱子28寸,是,,,每200减20,,,,,,,是,,,满98减30,单品券,妈妈渠道券,,,,,是,,,满99减11,单品券,全网公开券,,满229减80,单品券,全网公开券
NM4zBBqi5tGQ9d3baJC72NcRtB-Obb88dZSZ0P03bADi8X,蕉下防晒面罩脸基尼夏季遮阳女,86620,蕉下,115,110,115,115.00,110,,蕉下官方旗舰店,蕉下脸基尼AL333防晒面罩全脸防晒口罩防紫外线冰丝遮阳脸罩春夏,UPF50+，有效阻隔紫外线&ge;98%，全脸防晒,蕉下防晒面罩脸基尼夏季遮阳女,http://img.alicdn.com/bao/uploaded/i4/1652864050/O1CN01LC9Wpx1fmx26zjXqv_!!1652864050.jpg,38￥ MF3543 gMyn3ZWIZXG￥ https://m.tb.cn/h.g6sPR1o  蕉下脸基尼AL333防晒面罩全脸防晒口罩防紫外线冰丝遮阳脸罩春夏,20万+,50010404,服饰配件/皮带/帽子/围巾,,89￥ CZ3460 15EF3ZWIKc5￥ https://m.tb.cn/h.g6hjgks  蕉下脸基尼AL333防晒面罩全脸防晒口罩防紫外线冰丝遮阳脸罩春夏,否,,,,,,,,,,是,,5,满49减5,单品券,妈妈渠道券,,,,,否,,,,,,,,,
4NGjrr4FgtNoBnZeQbi70VtNtg-Vqq55XZipqnv2bbYtgp,开车防晒手套蕉下全指,86620,蕉下,69,64,69,69.00,64,,蕉下官方旗舰店,蕉下防晒手套AL36024短款开车女士户外防紫外线全指防滑透气骑行,不闷热更透气 手掌处防滑 亦可操作电子设备,开车防晒手套蕉下全指,http://img.alicdn.com/bao/uploaded/i3/1652864050/O1CN01tp7SCB1fmx2EK1WSX_!!1652864050.jpg,29￥ HU0854 AQMK3ZWIjMB￥ https://m.tb.cn/h.gTzIAb4  蕉下防晒手套AL36024短款开车女士户外防紫外线全指防滑透气骑行,10万+,50010404,服饰配件/皮带/帽子/围巾,,99￥ CZ0012 x4xf3ZWsWO4￥ https://m.tb.cn/h.gTzH9FO  蕉下防晒手套AL36024短款开车女士户外防紫外线全指防滑透气骑行,否,,,,,,,,,,是,,5,满49减5,单品券,妈妈渠道券,,,,,否,,,,,,,,,
PboweeAt3t6pW5NzDmuVjZCPt6-Q7755dZTbnD6dmRVhbb,开车防晒口罩vvc透气女,86620,vvc,36,19,36,55.00,19,,VVC 旗舰店,VVC防晒口罩女士面罩开车防风夏季3d男士骑行护眼角透气防紫外线,专业防晒UPF50+ 露鼻设计 畅快呼吸,开车防晒口罩vvc透气女,http://img.alicdn.com/bao/uploaded/i3/3697853843/O1CN010OM95d1eG907h42Ca_!!0-item_pic.jpg,39￥ MF6563 egqm3ZWrG1N￥ https://m.tb.cn/h.g6hRGuP  VVC防晒口罩女士面罩开车防风夏季3d男士骑行护眼角透气防紫外线,5万+,50010404,服饰配件/皮带/帽子/围巾,,28￥ CZ3452 rcnL3ZWrRrt￥ https://m.tb.cn/h.g6hRDa5  VVC防晒口罩女士面罩开车防风夏季3d男士骑行护眼角透气防紫外线,否,,,,,,,,,,是,,17,满36减17,单品券,妈妈渠道券,,,,,是,,,满65减15,单品券,全网公开券,,满36减7,单品券,全网公开券
KMVjkkjf3to8vDRGM9HpvetJtW-KAA773ZHwPD4PAjWU3,女夏外平底人字拖hotmarzz,86620,hotmarzz/黑玛,29.9,28.9,29.9,49.00,28.9,27.9,hotmarzz旗舰店,人字拖女夏外穿黑色夹脚拖鞋防滑浴室洗澡沙滩海边夹板夹趾游泳凉,经典款式,女夏外平底人字拖hotmarzz,http://img.alicdn.com/bao/uploaded/i3/1706278919/O1CN01buwkqw2FkxLolJAvF_!!0-item_pic.jpg,69￥ CZ3460 hrdY3ZWrNE4￥ https://m.tb.cn/h.g6slNdB  人字拖女夏外穿黑色夹脚拖鞋防滑浴室洗澡沙滩海边夹板夹趾游泳凉,10万+,50006843,女鞋,,98￥ MF1643 lcm43ZWsRYL￥ https://m.tb.cn/h.gh7obz6  人字拖女夏外穿黑色夹脚拖鞋防滑浴室洗澡沙滩海边夹板夹趾游泳凉,是,,,每200减20,,,,,,,是,,1,满27减1,店铺券,妈妈渠道券,,满35减4,店铺券,妈妈渠道券,否,,,,,,,,,
6WeZvvqH8tG72APQkjCrGjHot3-yGG99DpCm7X5bRvVHyg,蕉下防晒手套夏季长短款薄全指,86620,蕉下,89,84,89,89.00,84,,蕉下官方旗舰店,蕉下长款防晒手套AL36124防紫外线袖套春夏开车骑车透气女款手袖,舒适更显瘦 UPF50+ 轻薄透气,蕉下防晒手套夏季长短款薄全指,http://img.alicdn.com/bao/uploaded/i4/1652864050/O1CN01Itn4OK1fmx2EK40Jt_!!1652864050.jpg,07￥ CZ0002 kwyx3ZWISWY￥ https://m.tb.cn/h.gh7oinZ  蕉下长款防晒手套AL36124防紫外线袖套春夏开车骑车透气女款手袖,6万+,50010404,服饰配件/皮带/帽子/围巾,,87￥ CZ0016 EKN53ZWsfeJ￥ https://m.tb.cn/h.gh7M9tI  蕉下长款防晒手套AL36124防紫外线袖套春夏开车骑车透气女款手袖,否,,,,,,,,,,是,,5,满49减5,单品券,妈妈渠道券,,,,,否,,,,,,,,,
6WeZvv5t8tG72APQkjCrRdUot3-g66JJjyu2MeVdDG2SG5,雪糕防晒袖套蕉下长款男,86620,蕉下,69,64,69,69.00,64,,蕉下官方旗舰店,蕉下撞色冰袖AL36824高倍防晒开车防紫外线户外袖套护臂亲肤手袖,紫外线阻隔99%+  全手臂塑型防晒 轻薄透气,雪糕防晒袖套蕉下长款男,http://img.alicdn.com/bao/uploaded/i3/1652864050/O1CN01dJ0NqQ1fmx2BktEQP_!!1652864050.jpg,28￥ CZ3452 Q1EI3ZWrqvv￥ https://m.tb.cn/h.g6h8BuG  蕉下撞色冰袖AL36824高倍防晒开车防紫外线户外袖套护臂亲肤手袖,6万+,50010404,服饰配件/皮带/帽子/围巾,,27￥ HU0854 9UiJ3ZWsdkm￥ https://m.tb.cn/h.g6sPk46  蕉下撞色冰袖AL36824高倍防晒开车防紫外线户外袖套护臂亲肤手袖,否,,,,,,,,,,是,,5,满49减5,单品券,妈妈渠道券,,,,,否,,,,,,,,,
nKavPPkiMt3qomJ6MQFNxVC0tP-MxxMMdZu4kJxPeV4fRB,海昌洗眼液眼部清洗液缓解眼疲劳,86620,,49.9,19.9,49.9,99.80,19.9,,海昌家居旗舰店,海昌洗眼液眼部清洗液温和洗眼水清洁眼部护理液清洗眼睛水正品,,海昌洗眼液眼部清洗液缓解眼疲劳,http://img.alicdn.com/bao/uploaded/i3/2208900509678/O1CN01ejJmQZ2LMa5i5HuoZ_!!0-item_pic.jpg,78￥ CZ0002 uVBg3ZWsZJy￥ https://m.tb.cn/h.gTzHipl  海昌洗眼液眼部清洗液温和洗眼水清洁眼部护理液清洗眼睛水正品,2万+,28,ZIPPO/瑞士军刀/眼镜,,28￥ MF7997 zqUc3ZWIXog￥ https://m.tb.cn/h.gTzsTGX  海昌洗眼液眼部清洗液温和洗眼水清洁眼部护理液清洗眼睛水正品,否,,,,,,,,,,是,,30,满49减30,单品券,妈妈渠道券,,,,,是,,,满11减10,店铺券,全网公开券,,满49减20,单品券,全网公开券
Ygb5ppqSptXrbdMO8qcaQOC2t6-GwwaaVZSqxJNB2ROC9,蕉下防晒袖套薄款长短塑形户外,86620,蕉下,39.0,39,49,49.00,39,24,蕉下官方旗舰店,蕉下女士防晒袖套ES37024塑形凉感透气女防紫外线开车骑行亲肤,高弹更显瘦 不闷热更透气 多种颜色可选,蕉下防晒袖套薄款长短塑形户外,http://img.alicdn.com/bao/uploaded/i2/1652864050/O1CN01EbNKxK1fmx2DYNfLd_!!1652864050.jpg,77￥ CZ3460 XqnL3ZWrNnH￥ https://m.tb.cn/h.g6sPNiR  蕉下女士防晒袖套ES37024塑形凉感透气女防紫外线开车骑行亲肤,3万+,50010404,服饰配件/皮带/帽子/围巾,,97￥ CZ8908 OPIt3ZWINpy￥ https://m.tb.cn/h.gh7MdTB  蕉下女士防晒袖套ES37024塑形凉感透气女防紫外线开车骑行亲肤,否,,,,,,,,,,是,,,满98减50,单品券,妈妈渠道券,,,,,是,,10,满49减10,单品券,全网公开券,,,,
